Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Justin Holiday,SG,29,MEM,44,39,29.1,3.4,8.7,1.5,4.4,.333,1.9,4.3,.447,1.2,1.4,.900,0.6,2.9,3.5,1.4,1.2,0.3,1.3,1.9,9.5
John Holland,SF,30,CLE,1,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondae Hollis-Jefferson,SF,24,BRK,59,21,20.9,3.4,8.3,0.2,0.8,.184,3.2,7.4,.436,2.0,3.1,.645,1.4,3.8,5.3,1.6,0.7,0.5,1.2,1.8,8.9
Richaun Holmes,C,25,PHO,70,4,16.9,3.2,5.2,0.0,0.0,0,3.2,5.2,.608,1.8,2.5,.731,1.6,3.1,4.7,0.9,0.6,1.1,0.7,2.8,8.2
Rodney Hood,SG,26,TOT,72,49,26.3,4.1,9.3,1.2,3.3,.356,2.9,6.0,.478,1.9,2.2,.884,0.3,1.8,2.2,1.8,0.8,0.2,0.8,2.0,11.2
Rodney Hood,SG,26,CLE,45,45,27.4,4.3,10.1,1.2,3.4,.362,3.1,6.7,.460,2.3,2.5,.912,0.4,2.1,2.5,2.0,0.8,0.1,0.8,2.2,12.2
Rodney Hood,SG,26,POR,27,4,24.4,3.6,8.0,1.1,3.1,.345,2.6,4.9,.519,1.2,1.5,.805,0.3,1.4,1.7,1.3,0.8,0.3,0.7,1.7,9.6
Al Horford,C,32,BOS,68,68,29.0,5.7,10.6,1.1,3.0,.360,4.6,7.6,.604,1.1,1.4,.821,1.8,5.0,6.7,4.2,0.9,1.3,1.5,1.9,13.6
Danuel House Jr.,SF,25,HOU,39,13,25.1,3.0,6.5,1.9,4.6,.416,1.1,1.9,.595,1.4,1.8,.789,0.6,2.9,3.6,1.0,0.5,0.3,0.9,2.1,9.4
Dwight Howard,C,33,WAS,9,9,25.6,4.8,7.7,0.0,0.0,0,4.8,7.7,.623,3.2,5.3,.604,2.7,6.6,9.2,0.4,0.8,0.4,1.8,3.8,12.8
Kevin Huerter,SG,20,ATL,75,59,27.3,3.7,8.8,1.8,4.7,.385,1.9,4.1,.457,0.5,0.7,.732,0.8,2.5,3.3,2.9,0.9,0.3,1.5,2.1,9.7
Isaac Humphries,C,21,ATL,5,1,11.2,1.2,4.2,0.6,2.2,.273,0.6,2.0,.300,0.0,0.0,0,0.8,1.4,2.2,0.0,0.2,0.0,0.0,1.4,3.0
R.J. Hunter,SG,25,BOS,1,0,26.0,6.0,13.0,4.0,10.0,.400,2.0,3.0,.667,1.0,2.0,.500,1.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,17.0
Serge Ibaka,C,29,TOR,74,51,27.2,6.3,11.9,0.7,2.3,.290,5.6,9.6,.586,1.8,2.4,.763,2.1,6.0,8.1,1.3,0.4,1.4,1.5,2.9,15.0
Andre Iguodala,SF,35,GSW,68,13,23.2,2.2,4.4,0.7,2.1,.333,1.5,2.3,.652,0.6,1.0,.582,0.7,3.0,3.7,3.2,0.9,0.8,0.8,1.4,5.7
Andre Ingram,SG,33,LAL,4,0,3.8,0.0,1.5,0.0,0.8,.000,0.0,0.8,.000,0.0,0.0,0,0.3,0.3,0.5,0.0,0.3,0.0,0.3,0.0,0.0
Brandon Ingram,SF,21,LAL,52,52,33.8,7.0,14.0,0.6,1.8,.330,6.4,12.2,.521,3.8,5.6,.675,0.8,4.3,5.1,3.0,0.5,0.6,2.5,2.9,18.3
Kyrie Irving,PG,26,BOS,67,67,33.0,9.0,18.5,2.6,6.5,.401,6.4,12.0,.533,3.2,3.7,.873,1.1,3.9,5.0,6.9,1.5,0.5,2.6,2.5,23.8
Wes Iwundu,SF,24,ORL,68,13,18.1,1.7,4.0,0.4,1.2,.367,1.2,2.9,.431,1.2,1.5,.816,0.5,2.2,2.7,1.1,0.4,0.3,0.6,1.8,5.0
